user_id,order_id,order_date,repeat_30d,prior_orders_count,days_since_prior_order
12,20,2025-05-08,0,0,9999
14,22,2026-01-30,0,0,9999
24,34,2024-11-01,0,0,9999
32,42,2025-10-16,0,0,9999
42,51,2021-08-01,0,0,9999
47,54,2025-04-10,0,0,9999
56,58,2024-07-09,0,0,9999
70,73,2025-10-29,0,0,9999
94,100,2024-10-04,0,0,9999
101,109,2025-12-24,0,0,9999
110,121,2024-05-05,0,0,9999
114,131,2022-02-17,0,0,9999
121,139,2020-07-01,0,0,9999
126,144,2025-07-21,0,0,9999
132,153,2026-01-14,0,0,9999
141,171,2025-12-19,0,0,9999
155,184,2022-05-18,0,0,9999
157,185,2023-03-18,0,0,9999
174,208,2023-06-24,0,0,9999
177,212,2020-06-21,0,0,9999
201,236,2021-04-14,0,0,9999
206,241,2021-12-18,0,0,9999
209,247,2025-06-26,0,0,9999
231,273,2023-09-13,0,0,9999
232,274,2024-12-19,0,0,9999
242,284,2025-06-19,1,0,9999
242,285,2025-07-07,0,1,18
256,303,2025-07-04,0,0,9999
266,311,2024-08-11,0,0,9999
279,324,2026-01-17,0,0,9999
288,335,2025-07-25,0,0,9999
298,347,2024-03-09,0,0,9999
305,355,2025-02-14,0,0,9999
313,368,2024-11-29,0,0,9999
323,381,2024-02-17,0,0,9999
346,405,2020-08-08,0,0,9999
352,411,2025-06-18,0,0,9999
358,417,2021-05-30,0,0,9999
362,420,2025-05-31,0,0,9999
376,431,2021-11-05,0,0,9999
377,432,2024-10-15,0,0,9999
378,436,2025-12-04,0,0,9999
386,442,2025-02-13,0,0,9999
386,444,2025-04-08,0,1,54
397,458,2021-06-23,0,0,9999
399,462,2022-09-26,0,0,9999
400,464,2026-01-26,1,0,9999
400,466,2026-01-28,0,1,2
401,467,2019-11-03,0,0,9999
402,469,2025-08-19,0,0,9999
410,480,2025-08-30,0,0,9999
411,481,2025-10-26,0,0,9999
420,490,2021-12-23,0,0,9999
421,491,2024-02-28,0,0,9999
427,498,2022-09-24,0,0,9999
428,499,2025-12-05,0,0,9999
433,506,2026-01-27,0,0,9999
435,509,2026-01-20,0,0,9999
437,511,2021-11-07,0,0,9999
440,515,2025-11-18,0,0,9999
442,516,2025-06-01,0,0,9999
449,526,2025-11-07,0,0,9999
454,531,2026-01-13,0,0,9999
455,532,2021-07-29,0,0,9999
456,534,2026-01-29,0,0,9999
459,537,2025-12-11,0,0,9999
464,544,2025-02-27,0,0,9999
472,556,2023-02-18,0,0,9999
474,557,2020-11-13,0,0,9999
481,565,2025-03-20,0,0,9999
489,576,2025-05-28,0,0,9999
497,589,2025-11-29,0,0,9999
499,593,2024-11-17,0,0,9999
503,604,2024-02-03,0,0,9999
512,616,2024-04-19,0,0,9999
514,618,2025-02-27,0,0,9999
518,623,2022-06-24,0,0,9999
524,630,2024-05-02,0,0,9999
536,641,2024-08-10,0,0,9999
544,653,2025-05-29,0,0,9999
544,654,2025-07-12,0,1,44
548,658,2024-06-12,0,0,9999
550,661,2026-01-24,0,0,9999
553,664,2024-08-29,0,0,9999
565,677,2025-04-19,0,0,9999
566,678,2023-04-01,0,0,9999
568,680,2023-10-13,0,0,9999
571,684,2025-06-22,0,0,9999
581,695,2022-07-23,0,0,9999
585,701,2025-08-06,0,0,9999
587,705,2025-04-15,0,0,9999
596,715,2026-01-10,0,0,9999
606,723,2024-02-07,0,0,9999
607,724,2020-06-30,0,0,9999
608,725,2025-11-03,0,0,9999
617,734,2022-09-12,0,0,9999
623,741,2020-04-05,0,0,9999
623,743,2022-05-21,0,1,776
626,745,2023-07-12,0,0,9999
632,749,2022-12-26,0,0,9999
633,751,2023-07-09,0,0,9999
637,756,2025-03-26,0,0,9999
650,770,2025-08-30,0,0,9999
666,785,2024-06-25,0,0,9999
675,796,2021-12-07,0,0,9999
678,806,2024-10-07,0,0,9999
678,807,2025-08-04,0,1,301
684,816,2022-10-05,0,0,9999
687,821,2025-02-11,0,0,9999
693,830,2025-12-15,0,0,9999
699,837,2025-04-24,0,1,447
699,838,2024-02-02,0,0,9999
706,849,2021-05-05,0,0,9999
736,886,2025-11-30,0,0,9999
755,909,2020-10-20,0,0,9999
761,914,2024-05-04,0,0,9999
761,915,2025-03-06,0,1,306
775,946,2025-03-26,0,0,9999
794,965,2025-12-29,0,0,9999
819,994,2025-12-24,0,0,9999
830,1005,2023-10-22,0,0,9999
835,1015,2023-07-28,0,0,9999
839,1020,2025-01-19,0,0,9999
842,1025,2020-01-06,0,0,9999
845,1028,2026-01-25,0,0,9999
901,1090,2024-12-02,0,0,9999
909,1099,2020-11-10,0,0,9999
914,1101,2023-02-12,0,0,9999
923,1108,2025-10-04,0,0,9999
943,1131,2023-12-14,0,0,9999
947,1134,2025-04-11,0,0,9999
950,1140,2025-09-11,0,0,9999
957,1151,2024-09-23,0,0,9999
961,1155,2026-01-07,0,0,9999
966,1159,2025-07-17,0,0,9999
972,1167,2022-06-07,0,0,9999
996,1201,2020-07-16,0,0,9999
1000,1207,2022-05-26,0,0,9999
1010,1217,2023-03-17,0,0,9999
1021,1229,2025-04-24,0,0,9999
1029,1239,2024-01-02,0,0,9999
1035,1245,2026-01-30,0,0,9999
1038,1248,2024-10-18,0,0,9999
1040,1252,2025-06-25,0,0,9999
1048,1259,2024-05-03,0,0,9999
1056,1271,2026-01-20,0,0,9999
1065,1281,2025-08-31,0,1,86
1065,1282,2025-06-06,0,0,9999
1067,1287,2024-03-25,0,0,9999
1072,1295,2025-11-24,0,0,9999
1075,1303,2024-09-22,0,0,9999
1090,1317,2024-05-18,0,0,9999
1093,1320,2025-04-30,0,0,9999
1096,1324,2025-08-30,0,0,9999
1108,1344,2024-11-16,0,0,9999
1127,1364,2025-04-24,0,0,9999
1129,1365,2025-08-02,0,0,9999
1140,1378,2023-12-09,0,0,9999
1160,1396,2025-11-24,0,0,9999
1171,1412,2024-05-03,0,0,9999
1188,1437,2022-02-05,0,0,9999
1190,1438,2022-12-08,0,0,9999
1200,1450,2021-07-20,0,0,9999
1204,1455,2026-01-05,0,0,9999
1213,1467,2025-10-13,0,1,199
1213,1468,2025-03-28,0,0,9999
1216,1474,2025-08-17,0,0,9999
1225,1486,2024-02-25,0,0,9999
1231,1496,2025-11-23,0,0,9999
1241,1504,2026-01-14,0,0,9999
1250,1515,2022-11-16,0,0,9999
1251,1518,2025-04-15,0,1,458
1251,1519,2024-01-13,0,0,9999
1257,1528,2022-05-15,0,0,9999
1261,1534,2025-08-25,0,0,9999
1267,1540,2025-03-07,0,0,9999
1280,1556,2020-06-22,0,0,9999
1285,1565,2023-05-14,0,0,9999
1285,1566,2024-03-21,0,1,312
1292,1577,2025-03-15,0,0,9999
1295,1579,2025-12-12,0,0,9999
1297,1583,2023-03-28,0,0,9999
1299,1585,2026-01-22,0,0,9999
1301,1589,2021-01-17,0,0,9999
1307,1597,2023-05-20,0,0,9999
1312,1606,2026-01-24,0,0,9999
1315,1608,2024-10-18,0,0,9999
1319,1613,2024-10-12,0,0,9999
1323,1622,2021-06-10,0,0,9999
1325,1626,2025-08-27,1,1,104
1325,1627,2025-09-25,0,2,29
1325,1628,2025-05-15,0,0,9999
1342,1644,2022-10-28,0,0,9999
1363,1661,2025-11-25,0,0,9999
1369,1670,2024-04-29,0,0,9999
1378,1676,2025-10-02,0,0,9999
1381,1679,2024-06-19,0,0,9999
1381,1681,2025-08-14,0,1,421
1383,1684,2025-06-28,0,0,9999
1390,1692,2026-01-27,0,0,9999
1415,1712,2024-11-11,0,0,9999
